Country,All types,Beer,Other alcoholic beverages,Spirits,Wine
Afghanistan,0.01,0,0,0.01,0
Albania,4.4,1.75,0.08,1.43,1.15
Algeria,0.59,0.31,0,0.08,0.2
Andorra,10.99,3.59,0,2.32,4.98
Angola,5.84,3.78,0.08,1.27,0.72
Antigua and Barbuda,11.88,2.97,0.41,4.55,3.95
Argentina,7.95,3.62,0.72,0.72,2.88
Armenia,3.77,0.52,0.01,2.78,0.46
Australia,9.51,3.71,0.81,1.32,3.67
Austria,11.9,6.3,0,1.9,3.7
Azerbaijan,1.38,0.36,0.01,0.94,0.06
Bahamas,9.48,3.66,0.31,4.08,1.43
Bahrain,1.18,0.4,0.01,0.66,0.11
Bangladesh,0,0,0,0,0
Barbados,9.94,3.66,0.17,4.75,1.36
Belarus,10.57,2.26,2.66,4.67,0.98
Belgium,9.15,4.35,0.3,1.09,3.41
Belize,5.93,3.88,0.17,1.19,0.68
Benin,1.25,0.81,0.22,0.2,0.02
Bhutan,0.07,0.01,0,0,0.05
Bolivia (Plurinational State of),2.98,2.22,0.08,0.54,0.14
Bosnia and Herzegovina,5.46,4.19,0.17,0.62,0.47
Botswana,5.98,2.93,1.64,0.96,0.46
Brazil,6.12,3.84,0.04,2,0.24
Brunei Darussalam,0.69,0.66,0,0,0.04
Bulgaria,11.18,4.44,0.06,4.96,1.72
Burkina Faso,7.28,1,5.88,0.31,0.08
Burundi,4.07,1.84,2.23,0,0
Côte d’Ivoire,1.7,1.13,0.04,0.2,0.33
Cabo Verde,4.7,2.28,0,0.6,1.82
Cambodia,4.56,4.12,0,0.41,0.03
Cameroon,4.09,2.36,1.56,0.01,0.16
Canada,8,3.5,0.4,2.1,2
Central African Republic,0.94,0.55,0.33,0.02,0.04
Chad,0.55,0.37,0.16,0.01,0.01
Chile,7.8,2.76,0,2.43,2.61
China,4.48,1.66,0,2.63,0.18
Colombia,4.09,3.09,0.02,0.92,0.06
Comoros,0.18,0.04,0,0.07,0.07
Congo,5.74,5.11,0.01,0.52,0.1
Cook Islands,12.97,3.62,0,7.07,2.28
Costa Rica,3.07,2.17,0.39,0.36,0.15
Croatia,9.64,4.75,0.36,1.37,3.52
